value,colorIndex,geom
-64.0,1,POLYGON ((-80.42201172276584 25.49407183101377, -80.41976118808255 25.49394706220885, -80.42028073444904 25.48494288356467, -80.42270420654083 25.485077240128376, -80.42201172276584 25.49407183101377))
-64.0,1,POLYGON ((-80.46196986521417 25.554151806573174, -80.46086820995151 25.553385793708536, -80.46684851025566 25.54618287895737, -80.4680878420263 25.547044593107998, -80.46196986521417 25.554151806573174))
-64.0,1,POLYGON ((-80.39654190155883 25.663001283097003, -80.39754607772193 25.663253711177802, -80.39496911663949 25.671962467446576, -80.39379749956214 25.671667947026076, -80.39654190155883 25.663001283097003))
-64.0,1,POLYGON ((-80.38830750717008 25.689001093615015, -80.38981407315829 25.68937981674598, -80.38723599060083 25.698088410152987, -80.38556191660787 25.69766757664308, -80.38830750717008 25.689001093615015))
-64.0,1,POLYGON ((-80.38839503808073 25.679598027341964, -80.38972031805129 25.679976800118087, -80.38680847741587 25.688598595900782, -80.38531744132432 25.68817244644313, -80.38839503808073 25.679598027341964))
-64.0,1,POLYGON ((-80.32312330102002 25.718983216862846, -80.32521751807802 25.720388514123, -80.31935966499633 25.727679157931505, -80.3171257726947 25.726180084870244, -80.32312330102002 25.718983216862846))
-64.0,1,POLYGON ((-80.321056535171 25.71754500571042, -80.32312330102002 25.718983216862846, -80.3171257726947 25.726180084870244, -80.31492116869929 25.72464590276846, -80.321056535171 25.71754500571042))
-50.0,2,POLYGON ((-80.40677748355063 25.57537846420001, -80.40609276523308 25.575482323406003, -80.4043665943152 25.566602819744187, -80.4052224306684 25.566473005167296, -80.40677748355063 25.57537846420001))
-50.0,2,POLYGON ((-80.41681554081805 25.511879928388936, -80.41490806029744 25.51183465299781, -80.41508136430379 25.50281954108964, -80.41525464233202 25.49380441512877, -80.4175085998841 25.493857914554688, -80.41716209631343 25.50286892879935, -80.41681554081805 25.511879928388936))
-50.0,2,POLYGON ((-80.41924156392531 25.50295122497737, -80.41716209631343 25.50286892879935, -80.4175085998841 25.493857914554688, -80.41785505154176 25.48484688543679, -80.42028073444904 25.48494288356467, -80.41976118808255 25.49394706220885, -80.41924156392531 25.50295122497737))
-50.0,2,POLYGON ((-80.42333693805448 25.566902962108603, -80.42248661513186 25.566746153262432, -80.42438310003074 25.557895271543053, -80.42540341564718 25.558083428582826, -80.42333693805448 25.566902962108603))
-50.0,2,POLYGON ((-80.43366629481537 25.522804880731343, -80.43196624789827 25.522491376064025, -80.43386133723747 25.513640309035456, -80.43573125713515 25.51398513933878, -80.43366629481537 25.522804880731343))
-50.0,2,POLYGON ((-80.43860778648406 25.57235511468097, -80.4378600080996 25.571955903187323, -80.44283007179544 25.564146546151186, -80.44372736796389 25.564625569542752, -80.43860778648406 25.57235511468097))
-50.0,2,POLYGON ((-80.38972031805129 25.679976800118087, -80.39105270146037 25.68033455047075, -80.38830750717008 25.689001093615015, -80.38680847741587 25.688598595900782, -80.38972031805129 25.679976800118087))
-50.0,2,POLYGON ((-80.38917315887112 25.670305958953477, -80.39031921759225 25.67067383975254, -80.38707726586652 25.679198347715662, -80.38576740342391 25.678777883190783, -80.38917315887112 25.670305958953477))
-50.0,2,POLYGON ((-80.39160238711271 25.6615031518223, -80.39257843387402 25.66183394682433, -80.38917315887112 25.670305958953477, -80.38803436879044 25.66992000471309, -80.39160238711271 25.6615031518223))
-50.0,2,POLYGON ((-80.35769668706045 25.662875882342576, -80.35870418707673 25.66374282511327, -80.35191385770683 25.67033423372625, -80.35078041415017 25.669358870797684, -80.35769668706045 25.662875882342576))
-50.0,2,POLYGON ((-80.3378903042313 25.67013301898287, -80.33904051791926 25.671312173709758, -80.33164048456787 25.677341306994133, -80.33037526715981 25.676044173239543, -80.3378903042313 25.67013301898287))
-50.0,2,POLYGON ((-80.14005347371896 25.69587259875068, -80.14172555175497 25.700177434290797, -80.13236408056797 25.703243526208304, -80.13063464983902 25.69879013858804, -80.14005347371896 25.69587259875068))
-50.0,2,POLYGON ((-80.3934072627874 25.614130047832028, -80.39347048988039 25.614439511660002, -80.3837053156564 25.61615827943606, -80.38361051150746 25.615694077457317, -80.3934072627874 25.614130047832028))
-50.0,2,POLYGON ((-80.35271393363483 25.579430333297655, -80.35211517839087 25.580388820877868, -80.34341987871758 25.576013712545052, -80.3441042239795 25.57491833794257, -80.35271393363483 25.579430333297655))
-36.0,3,POLYGON ((-80.3641228400577 25.579962423482417, -80.36353267021828 25.58074034934051, -80.35529053701545 25.5756954316216, -80.35597910108547 25.574787889349142, -80.3641228400577 25.579962423482417))
-36.0,3,POLYGON ((-80.35668501857646 25.57389137761042, -80.35597910108547 25.574787889349142, -80.34783606327895 25.569612897676297, -80.34864285994064 25.568588356683073, -80.35668501857646 25.57389137761042))
-36.0,3,POLYGON ((-80.36293018051067 25.56714837977563, -80.36209361172973 25.56794712460163, -80.35482424739119 25.561795242476805, -80.3557803313628 25.56088243753349, -80.36293018051067 25.56714837977563))
-36.0,3,POLYGON ((-80.41213230960831 25.565925041582382, -80.41126488322632 25.56594563038602, -80.41091801593765 25.556934714145328, -80.41057120064374 25.54792378455887, -80.41178541562596 25.54789496447538, -80.41195884961053 25.556910009399214, -80.41213230960831 25.565925041582382))
-36.0,3,POLYGON ((-80.41781220681341 25.59350288759539, -80.41747462736681 25.593429426896854, -80.41971145043831 25.584644062996386, -80.4202177848002 25.584754246146222, -80.41781220681341 25.59350288759539))
-36.0,3,POLYGON ((-80.45414482424972 25.471646910582017, -80.45145845947458 25.471017220468763, -80.45385914174625 25.46226785126725, -80.45671321103724 25.46293684952581, -80.45414482424972 25.471646910582017))
-36.0,3,POLYGON ((-80.42836664804275 25.587813640380467, -80.42791794311965 25.587574083065697, -80.43288929857832 25.579765082122137, -80.43348754654761 25.580084471592144, -80.42836664804275 25.587813640380467))
